// Andrews-Hanna,2011		 
// MNI-FSL		 
// S-S	 	 
// Stroop	
// avgAge=15.6
// Subjects=32		
-46	32	0
-36	58	-8
38	50	-2
-38	10	42

// Fan,2014	 
// MNI-SPM	 
// Stroop
// avgAge=11.2
// Subjects=23		
24	45	-12

// Hansen,2018 
// MNI-SPM
// Stroop
// avgAge=16.2
// Subjects=171		
-38	4	30
-29	-61	39
34	22	12
-9	-11	11
35	21	13
-44	-49	-7
31	-61	-23
28	-61	44
39	5	28
-38	-48	-21
21	-18	-25
40	-87	10
52	41	-1
44	17	-38
-17	-103	-9
24	1	52

// vantEnt,2009	 
// MNI-SPM
// Stroop+Flanker
// avgAge<12yrs
// Subjects=18		
-27	-63	-30
-6	-69	-27
33	-57	-24
-33	-54	-15
42	-60	-6
-15	-69	6
6	-84	9
-33	-54	55
33	-57	54
-6	3	57
3	9	54
-6	18	36
9	18	39
-39	15	3
39	15	0
-45	27	3
45	15	6
-54	9	36
48	6	30

// Cao,2006
// MNI
// Conflict task
// avgAge=11.5
// Subjects=14
-42	24	-3
36	27	-3
39	6	27
9	18	48
-36	-33	45
-42	-54	-18
36	-90	-3
15	-75	12
9	12	6

// Margolis,2018
// MNI
// Simon
// avgAge=16.1
// Subjects=55
24	-7	61
27	-13	58
27	2	49
-39	-40	37
56	-51	23
1	25	23
6	25	23
44	5	25
-35	5	25
23	2	7
6	-67	-29
33	-37	-14
-33	-49	-14
15	-33	-7
-30	-31	-7
-36	-37	-14
57	-55	-14

// Sebastian,2021
// MNI
// emotional stroop
// avgAge=14
// Subjects=58
-44	-32	40
-24	-4	50
-8	6	52
30	-48	-30
30	-38	-32
32	-44	-46

// Puetz,2016
// MNI
// Stroop
// avgAge=12.91
// Subjects=19
-51	14	31
-42	20	28
-51	26	19
-24	-64	43
-36	-58	46
-27	-43	43
-51	44	-5
-33	62	7
-42	53	-2
-3	-61	43
-3	-73	49

// Liu,2016
// MNI
// Interference task
// avgAge=13.9
// Subjects=72
-6	8	46
6	17	40
-30	20	4
39	17	-5
39	5	25
-39	-1	28
-30	-4	61
-48	-22	55
-21	-61	46
27	-55	46
6	-64	55
-21	-73	28
-30	-79	19
-27	-88	7
-45	-79	-11
42	-73	-11
6	-16	10
12	-67	13

// Gee,2022
// MNI
// conflict task
// avgAge=12.93
// Subjects=40
0	28	44
0	-18	14

// Schulte, 2020
// MNI
// Stroop
// avgAge=16
// Subjects=178
42	14	-2
-34	14	6
58	-40	24
-40	-64	-10
0	-48	-16
40	-62	-12
-34	48	32
-2	-26	-16
36	-6	-12
10	12	8
28	-48	46

// Kim-Spoon,2021
// MNI
// Multi-Source Interference
// avgAge=16
// Subjects=151
-6	14	49
-27	-7	55
27	-4	52
-45	-37	49
-39	-85	-2
-30	-91	-2
33	20	7
-9	-19	13
9	-19	10
-30	17	10
-30	23	4
-24	5	10
-27	-70	-47
-33	-52	-50
39	38	28
-3	8	25
-30	-88	1
-36	-82	-5
-21	-64	49
33	-88	-2
39	-82	-5
42	-64	-8
-6	14	46
-24	-4	58
-45	2	34
-27	20	10
-12	-16	13
36	17	10
-6	-25	-8
48	5	31
6	-73	-17
-3	-73	-26
0	-55	-29
-27	-4	55
-6	11	49
9	17	43
-39	-67	-5
-30	-91	4
-42	-37	43
36	-85	10
33	-88	-2
39	-76	-2
-27	17	7
27	-1	55
33	17	7
-12	-19	16
-18	-7	25
-30	-34	4
-45	2	31
-6	-22	-8
9	-22	-11
-3	-31	-17
48	8	31
-24	-67	-44
27	-34	10
21	-22	16
15	-13	13
-30	-88	-2
-24	-64	49
-42	-37	43
30	-91	-2
36	-85	7
27	-58	52
-3	11	49
-27	-4	58
-42	2	31
-27	20	7
51	8	31
36	17	7
24	11	7
-9	-19	10
-18	-7	25
-24	-34	10
15	-13	13
24	-31	16
21	-4	22
-3	-28	-11
6	-25	-8
-45	32	28

// Mincic,2010	  
// Talairach 
// Stroop 
// avgAge=16-17 
// Subjects=35
39.14	26.94	24.43
-41.35	23.6	25.04
-44.61	-40.94	51.43
22.76	-61.5	43.34

// Posner,2011	  
// Talairach 
// Stroop 
// avgAge=13.4 
// Subjects=15
-44.27	14.29	35.09
0.63	23.01	40.82
-16.61	-73.73	45.52
28.46	-51.56	36.98
46.55	20.67	31.24

// Tamm,2002	   
// Talairach 
// Stroop  
// avgAge=15.43  
// Subjects=14
30.22	-67.26	43.87
-22.2	-74.41	42.69
-49.66	8.49	2.07

// de Kieviet,2014	   
// Talairach	  	   
// Flanker  
// avgAge=8.7  
// Subjects=47
-38.89	-42.71	37.81
28.52	-42.74	33.18
-2.28	1.92	44.52

// Rubia,2006	   
// Talairach 
// Simon  
// avgAge=15  
// Subjects=28
-53.5	-16.14	2.76
5.35	-52.18	-.34
-49.08	-14.3	38.16
-1.65	61.14	-9.41
25.83	-40.62	18.87

// Sheridan,2014  
// Talairach 
// Simon  
// avgAge=8.1  
// Subjects=33
21.07	-8.65	44.84
-23.85	6.12	52.72
-10.5	1.27	18.19
-2.96	-29.13	-4.01
-25.51	-40.83	2.01
17.08	-65.72	49.26
-20.37	-60.26	54.68
-.96	34.02	10.09

// Bernal, 2009 
// Talairach 
// Stroop 
// avgAge=14.67 
// Subjects=18
-47.84	17	13.6
-51.81	-1.63	33.73
-3.28	-6.89	48.31
-51.66	-40.22	-3.65
-4.88	-9.61	11.97
-53.41	4.75	1.73
-23.99	-75.41	31.76
40.24	26.8	2.77
24.8	-88.89	7.78
-14.76	-62.18	54.59
-33.33	-58.72	36.6
60.64	6.56	17.63
-31.32	-88.36	5.37
-27.64	-8.89	51.48
49.56	8.09	-.42
-3.13	21.88	43.39
-45.91	8.46	2.11
-2.96	23.62	21.87
0.52	0.89	45.37
-29.22	-65.95	-14.48
27.12	13.88	-.22
4.47	-15.17	9.83
-16.07	-5.48	8.56
0.55	17.66	48.51
0.74	19.55	25.2
53.16	-31.55	-1.75
32.58	-53.23	-12.75
2.41	21.11	52.42
-55.71	-46.85	31.87
-5.15	-1.38	50.54
-55.42	-58.55	-10.58
47.36	1.15	38.71
15.85	13.52	5.04
-22	-79.6	13.4
-31.4	-76.36	20.77
38.06	-83.77	-9.71
22.98	-82.95	4.62
62.3	-44.78	20.77
-48.05	-14.23	25.54
-10.44	3.73	11.17

// Bunge,2002 
// Talairach 
// Flanker 
// avgAge=10 
// Subjects=16
-36.57	17.35	8.35
-40.31	22.87	10.55
22.86	-53.18	34.08
-42.15	1.35	-3.83
0.81	-28.87	-7.55

// Halari,2009 
// Talairach 
// Simon 
// avgAge=16.3 
// Subjects=21
42.86	-57.13	-12.04
-47.79	5.65	1.87
32.72	19.19	3.88
36.03	-72.64	16.43
15.32	-63.75	36.76
-14.25	-76.1	-18.73

// Konrad,2005 
// Talairach 
// ANT 
// avgAge=10.1 
// Subjects=16
-29.06	34.79	14.34
45.9	12.6	-9.13
-37.35	67.16	12.32
-15.41	-92.08	3.45

// Chuang,2014
// MNI-FSL
// Flanker
// avgAge=64.6
// Subjects=60		
16	-66	50
46	-72	-4
-28	-58	50
34	-50	52
-48	-80	-8
2	16	46
-42	0	36
38	12	58

// Gianaros,2007
// MNI-SPM
// Stroop
// avgAge=68.04
// Subjects=46
42	-27	27
-42	9	30
-51	9	9
-51	-45	42
-27	-75	42
-42	-15	33
-39	-30	-6
30	-69	48
6	-66	-15

// Gordon,2015
// MNI-FSL
// Stroop
// avgAge=63.5
// Subjects=71
-42	24	18
46	22	24
-30	-66	50
0	16	54

// Korsch,2014
// MNI-SPM
// Flanker
// avgAge=70.26
// Subjects=19	
6	4	29
-36	-72	-13
-6	12	0
-12	28	0
10	36	32
48	-38	18
18	-48	-11

// Laeng,2011
// MNI-SPM
// Stroop
// avgAge=53.8
// Subjects=10		
22	-72	-24
48	-56	-24
-4	-80	-20
-44	-76	-18
0	-34	-2
-44	-2	58
-44	6	28
0	-58	68
-28	-62	58
-32	-54	66
-22	-68	40
40	22	-16
4	-32	-30
0	20	40
-44	30	28
24	-62	56
-32	-68	-34

// Nagamatsu,2011
// MNI-SPM
// Flanker
// avgAge=69.6
// Subjects=73		
28	-78	42
36	24	-4
8	-80	-34
-48	-70	-12
8	20	44
-22	-72	32
-26	0	50
26	2	48
54	14	28
-32	24	-6
-46	20	-10
28	-68	-28
14	-76	-50
16	-38	-34

// Onur,2011
// MNI-SPM
// Stroop+Simon
// avgAge=63.81
// Subjects=13		
-3	9	51
-48	6	30
-39	-48	57
51	33	27
6	21	42
6	-69	51
-36	18	-3

// Prakash,2009
// MNI-FSL
// Stroop
// avgAge=65.5
// Subjects=25
12	-96	22
-42	3	35
-36	-68	43
-55	19	34
-6	-78	42
-48	-61	32

// Puente,2014
// MNI-SPM
// Stroop
// avgAge=74
// Subjects=26
-2	14	44
-44	0	35	
-6	-72	53
-38	-3	51
-32	-54	47
-48	38	9
-14	-14	17

// Dash,2019
// MNI
// Flanker 
// avgAge=73.94
// Subjects=18
-22	-50	6

// Rizio,2017
// MNI
// Stroop
// avgAge=67
// Subjects=20
-10	-32	74
18	-26	72
-36	-34	48
8	-94	-12
-4	-74	-6
26	-86	-18
16	-94	10

// Huang,2012
// MNI
// Physical Stroop
// avgAge=66.1
// Subjects=18
-54	6	28
-44	-32	48
32	0	68
-38	44	28
40	-2	58
-28	30	12
32	20	12
2	14	42
6	26	32
-4	-6	76
10	-6	70
-40	-46	40
54	-34	54
-58	-26	42
58	-38	42
58	-32	8
18	-80	26
18	-56	-8
-28	-76	28
26	8	8
-30	-54	-24
32	-56	-24
-48	6	36
46	8	32
-52	-18	16
-12	26	40
-24	-6	54
34	0	64
-48	22	38
-42	42	34
34	4	52
44	48	22
-48	6	26
54	8	24
-8	10	42
4	16	46
-4	8	52
4	16	46
-36	16	6
50	-38	56
-44	-54	-2
-46	-54	-16
50	-74	-6
-32	-46	-22
36	-68	-20
12	-32	-6
20	-94	30
-6	-54	-10
4	-54	-8

// Fernandez,2019
// MNI
// Flanker
// avgAge=72.7
// Subjects=34
24	8	58
-24	-4	52
45	11	28
-39	5	37
54	32	28
-51	8	40
3	20	52
-3	23	49
27	-73	58
-24	-67	49
39	-43	49
45	-70	-11
36	-85	7
-36	-91	7
36	-88	-2
-48	-76	-5
12	-49	-29
9	-76	-26
-9	-73	-23
-12	-79	49
-24	-85	37

// Mathis,2009 
// Talairach 
// Stroop 
// avgAge=62.8 
// Subjects=12
48.22	33.46	23.8
39.45	26.78	-6.77
27.27	-72.07	37.35
-45.85	23.75	16.77
-50.26	31.15	2.82
-28.28	-76.63	38.37
9.98	26.82	51.56
48.2	37.69	23.44
52.28	26.85	-6.92
-54.37	24.04	21.31
-41.81	21.37	-14.3
9.83	29.68	33.48

// Zhu,2010  
// Talairach 
// Flanker  
// avgAge=74  
// Subjects=22
35.23	-1.15	32.97
25.7	-6.44	52.29
-24.81	-6.81	48.97
28.56	-69.69	15.68
35.87	-51.47	47
-31.29	-78.02	6.19
-43.28	-67.09	-11.12
-36.74	-59.91	-6.86
-21.21	-64.73	39.87

// Milham,2002 
// Talairach 
// Stroop 
// avgAge=68 
// Subjects=10
-33.09	5.61	36.33
38.07	9.16	33.83
45.52	12.43	39.59
-49.69	11.81	7.75
-53.42	22.82	12.2
49.44	16.03	18.26
41.91	19.26	25.65
30.3	-62.77	35.2
-31.48	-57.14	40.35
-42.15	35.9	13.38
40.14	14.8	10.83
0.49	6.09	51.2
-14.73	-69.12	46.81
-40.35	13.33	11.59
-29.11	22.5	14.26
45.66	21.11	25.85
25.18	15.05	8.88
51.22	2.28	24.4
2.3	3.62	58.24
0.54	2.92	43.72
0.54	13.9	48.21
-51.88	-46.01	21.15
-34.54	28.04	-7.02
-45.85	16.41	-2.67
36.57	22.06	-8.48
51.43	29.9	10.37
-19.54	37.34	-6.1
-34.93	15.02	37.06
32.46	20.19	38.25
-46.29	-42.72	26.9
-29.61	-40.82	48.9
-3.46	-57.92	47.84

// Mitchell,2010		
// MNI/ICBM152 -SPM5 		
// I>C		
// SS 		
// a version of the classic Stroop task		
// Subjects=28		
9	0	53
-42	-6	56
-31	-27	60
-2	4	47
-54	-13	19
-18	-60	60
-30	-68	15
26	-49	-4
43	-83	0
-24	-83	27
29	-19	15
-26	-61	-11
15	-64	-17

// TERRY,2012		
// MNI - SPM8		
// SSI>SSC		
// SS 		
// a colour-word Stroop interference task, an operation-span working memory task and a finger-tapping task.		
// Subjects=20		
-8	9	55
-48	26	25
-26	-70	36
-33	-87	6
39	-87	-3
34	-64	-30
44	15	-9
-46	9	0
28	-90	7
54	8	39
-4	-60	40
-30	-63	42
26	-57	40
30	-81	15
-3	-61	39
